DATE,Time,Location,Operator,Route,AC Type,Aboard,Fatalities,Summary,url
30-Aug-08,2150,"Near Toacaso, Ecuador",Conviasa,Caracas - Latacunga,Boeing B-737-291,3   (passengers:0  crew:3),3   (passengers:0  crew:3),The plane was on a positioning flight when it flew into the side of Iliniza Volcano.,https://www.planecrashinfo.com/2008/2008-37.htm
1-Sep-08,1210,"Columbus, Ohio",Air Tahoma,Colombus - Mansfield,Convair CV-580,3   (passengers:0  crew:3),3   (passengers:0  crew:3),"Soon after taking off the pilot radioed he was returning to the airport but the aircraft crashed into a corn field, broke up and burned. The improper (reverse) rigging of the elevator trim cables by company maintenance personnel, and their subsequent failure to discover the misrigging during required post-maintenance checks. Contributing to the accident was the captains inadequate post-maintenance preflight check.",https://www.planecrashinfo.com/2008/2008-38.htm
3-Sep-08,2020,"Off Dubai, United Arab Emirates",Aerogulf,?,Bell 212,7   (passengers:5  crew:2),7   (passengers:5  crew:2),"While attempting to take off, the helicopter struck a crane, crashed on to the deck of the Maersk Resilient oil drilling rig, broke up and fell into the sea 43 miles off Duabi.",https://www.planecrashinfo.com/2008/2008-39.htm
14-Sep-08,315,"Perm, Russia",Aeroflot Nord,Moscow - Perm,Boeing B-737-505,88   (passengers:82  crew:6),88   (passengers:82  crew:6),"The aircraft crashed into a ravine adjacent to railroad tracks and near an apartment building as it was approaching Perm for a landing. The plane was at 3,600 when contact was lost with the tower. Pilot error. The captain ""lost spatial orientation"" after he misread an altitude indicator on the instrument panel. The pilot  was determined to be intoxicated.",https://www.planecrashinfo.com/2008/2008-40.htm
19-Sep-08,2353,"Columbia, South Carolina",Global Executive Aviation,"Colombia, SC - Los Angeles, CA",Learjet 60,6   (passengers:4  crew:2),4   (passengers:2  crew:2),"The plane was attempting to take off from Columbia Metropolitan Airport when it overran the runway, crashed through a perimeter fence, struck antennas and came to rest on an embankment adjacent to highway. The accident was caused by the operators inadequate maintenance of the airplanes tires, which resulted in multiple tire failures during takeoff roll due to severe underinflation, and the captains execution of a rejected takeoff after V1, which was inconsistent with her training and standard operating procedures.",https://www.planecrashinfo.com/2008/2008-41.htm
27-Sep-08,357,"Camp Springs, Maryland",Maryland State Police,Medical evacuation flight,Aerospatiale SA365N-1 Dauphin II,5   (passengers:4  crew:1),4   (passengers:3  crew:1),The medical helicopter carrying victims of a traffic accident crashed in fog at Walker Mill Regional Park. The pilot radioed for help prior to the accident.,https://www.planecrashinfo.com/2008/2008-42.htm
8-Oct-08,731,"Lukla, Nepal",Yeti Airlines,Katmandu - Lukla,de Havilland Canada DHC-6 Twin Otter 300,19   (passengers:16  crew:3),18   (passengers:16  crew:2),"As the passenger plane came in for a landing, in fog, the main landing gears snagged on a security fence. The plane crashed to the ground and caught fire. The pilot was the only survivor. The cause was the two pilots who misjudged deteriorating weather conditions and flew inside a patch of fog while trying to land at Lukla airport, which is carved into the side of the Himalayas at an altitude of 9,200 feet.",https://www.planecrashinfo.com/2008/2008-43.htm
15-Oct-08,2358,"Aurora, Illinois",Air Angles Inc.,Sandwich - Chicago,Bell 222,4   (passengers:1  crew:3),4   (passengers:1  crew:3),"The helicopter clipped a radio tower wire, crashed and burned killing all aboard.",https://www.planecrashinfo.com/2008/2008-44.htm
13-Nov-08,1135,"Fallujah, Iraq",Falcon Aviation Group,al-Asad air base - Baghdad,Antonov An-12,7   (passengers:0  crew:7),7   (passengers:0  crew:7),"The cargo plane, chartered by FedEx, crashed west of Baghdad, shortly after taking off from al Asad air base and after the crew reported a malfunction with the plane.",https://www.planecrashinfo.com/2008/2008-45.htm
16-Nov-08,1032,"Thormanby Island, British Columbia, Canada",Pacific Coastal Airlines,Vancouver - Powell River - Toba Inlet,Grumman G-21A Goose,8   (passengers:7  crew:1),7   (passengers:6  crew:1),The charter aircraft crashed into a steep hillside on south Thormanby Island 19 minutes after taking off and exploded into flames. Controlled flight into terrain caused by poor weather conditions and the decision by the pilot to fly in such conditions.,https://www.planecrashinfo.com/2008/2008-46.htm
27-Nov-08,1700,"Off Perpignan, France",XL Airways leased from Air New Zealand,Training,Airbus A320-232,7   (passengers:0  crew:7),7   (passengers:0  crew:7),"The Airbus A320 was leased by XL Airways of Germany since May 2006. The plane was scheduled to be returned to its owner, Air New Zealand. The plane was ferried to Perpignan, France where it underwent maintenance at EAS Industries. During a second test flight, on approach to Perpignan, at 3,500 feet, radio contact was lost. A controller reported seeing the plane descending quickly in a left bank. The aircraft soon after crashed into the sea and broke up. While attempting to test slowing the airplane to an unsafe speed, the plane's computer failed to automatically recover to safe flight, The plane stalled and crashed. The reason the computer failed was that both angle-of-attack sensors were frozen.The reason water froze in the sensors was the plane had been washed using a firehose without protecting the sensors.",https://www.planecrashinfo.com/2008/2008-47.htm
3-Dec-08,1213,"San Juan, Puerto Rico",Webstas Aviation Services Inc.,"Tortola Virgin Islands - San Juan, PR",Rockwell International 690B,3   (passengers:2  crew:1),3   (passengers:2  crew:1),"The plane struck the side of El Yunque mountain 2,310 feet, east of San Juan in heavy fog.",https://www.planecrashinfo.com/2008/2008-48.htm
11-Dec-08,625,"Off Sabine Pass, Texas",Rotorcraft Leasing Co,Sabine Pass - Oil Platform,Bell 206-L4 Jet Ranger III,3   (passengers:3  crew:2),3   (passengers:3  crew:2),"The helicopter ferrying workers to an off shore drilling platform crashed into the Gulf, 8 miles from Sabine Pass.",https://www.planecrashinfo.com/2008/2008-49.htm
15-Dec-08,1640,Off Turks and Caicos Islands,Alantis Aviation,"Santiago, Dominican Republic - Providenciales",Britten Norman BN-2A Trislander Mk3,12   (passengers:11  crew:1),12   (passengers:11  crew:1),The charter flight disappeared from radar 35 minutes into the flight and after the pilot radioed a mayday call. Probably crashed into the ocean. Never found.,https://www.planecrashinfo.com/2008/2008-50.htm
20-Dec-08,1818,"Denver, Colorado",Continental Airlines,Denver - Houston,Boeing 737-500,115   (passengers:110  crew:5),0   (passengers:0  crew:0),"Before takeoff the crew were informed that there was a 27-knot crosswind, close to the airplane's limit of 33 knots.  But in fact this was only the average speed.  During the takeoff roll the plane was blown sideways by a 45-knot gust, well outside the captain's   experience and training.  When the rudder did not immediately correct the yaw, he assumed it had failed and stopped trying it. The plane ran onto rough terrain near the runway and was destroyed by impact and fire.",https://www.planecrashinfo.com/2008/2008-51.htm
1-Jan-09,437,"Lubock, Texas",Empire Airlines leased from FedEx,Fort Worth - Lubbock,ATR-42-320,2   (passengers:0  crew:2),2   (passengers:0  crew:2),"Crashed while attempting to land. The probable cause of this accident was the flight crew's failure to monitor and maintain a minimum safe airspeed while executing an instrument approach in icing conditions, which resulted in an aerodynamic stall at low altitude. Contributing to the accident were 1) the flight crew's failure to follow published standard operating procedures in response to a flap anomaly, 2) the captain's decision to continue with the unstabilized approach, 3) the flight crew's poor crew resource management, and 4) fatigue due to the time of day in which the accident occurred and a cumulative sleep debt, which likely impaired the captain's performance.",https://www.planecrashinfo.com/2009/2009-1.htm
4-Jan-09,1530,Near Houma Louisiana,Petroleum Helicopters Inc,Bayou Penchant - Off shore oil fields,Sikorsky S-76C++,9   (passengers:7  crew:2),8   (passengers:6  crew:2),"A helicopter bound for offshore oil fields went down about 75 miles southwest of New Orleans shortly after taking off. The sudden loss of power to both engines that resulted from impact with a red-tailed hawk, which fractured the windshield and interfered with engine fuel controls and the subsequent disorientation of the flightcrrew members. Also the lack of FAA regulations and guidance at the time the helicopter was certificated requiring helicopter windshields to be resistant to bird strikes and the lack of protections that would prevent T-handles from inadvertently dislodging out of the detents and the lack of a master warning light and audible system to alert the flightcrew of low-rotor speed conditions.",https://www.planecrashinfo.com/2009/2009-2.htm
15-Jan-09,?,"Adraskan district, Afghanistan",Afghan Army,?,Mil Mi-17,13   (passengers:?  crew:?),13   (passengers:?  crew:?),Either shot down or crashed due to bad weather.,https://www.planecrashinfo.com/2009/2009-3.htm
15-Jan-09,1506,"New York, New York",US Airways,"New York, NY- Charlotte, NC",Airbus A320-214,155   (passengers:150  crew:5),0   (passengers:0  crew:0),"The plane was taking off from La Guardia Airport when both engines were disabled after striking a flock of geese. The crew was able to ditch the plane in the Hudson River, making a soft landing. All 150 passengers and crew of 5 made it out safely before the plane began to sink. No one was reported to be seriously injured.",https://www.planecrashinfo.com/2009/2009-4.htm
7-Feb-09,1400,"Manacapuru, Brazil",Aerotaxi Manaus,Coari - Manus,Bandeirante EMB-110P1,28   (passengers:26  crew:2),24   (passengers:22  crew:2),"The plane was being used as an air taxi to ferry passengers between cities when it crashed in the Manacapuru River, 50 miles from Manus. The plane took off under warning of strong winds and rain. The crew asked permission to return shortly after takeoff because they lost an engine. The plane disappeared from radar and lost contact with ATC. The plane crashed into the river when the crew tried to land the plane on an abandoned runway in the town of Manacapuru.",https://www.planecrashinfo.com/2009/2009-5.htm
12-Feb-09,2217,"Clarence Center, New York",Continental Connection/Colgan Air,"Newark, N.J. - Buffalo, NY",Bombardier DHC-8-402 Q400,49   (passengers:44  crew:5),49   (passengers:44  crew:5),"The commuter plane crashed while attemptiong to land in rain and sleet, 6 miles northeast of Buffalo Niagara International Airport, were it was scheduled to land. Preliminary evidence suggests the crew selected the landing gear down and set the flaps 15 degrees. Immediately after selecting the flaps the stick shaker activated. The captain then pulled on the controls, slowing the airplane even further causing the plane to stall. Colgan Air officials acknowledged that both pilots apparently were not paying close attention to the aircraft's instruments and failed to follow the airline's procedures for handling an impending stall in the final minutes of the flight. The captains inappropriate response to the activation of the stick shaker, which led to an aerodynamic stall from which the airplane did not recover. Contributing to the accident were (1) the flight crews failure to monitor airspeed in relation to the rising position of the low-speed cue, (2) the flight crews failure to adhere to sterile cockpit procedures, (3) the captains failure to effectively manage the flight, and (4) Colgan Airs inadequate procedures for airspeed selection and management during approaches in icing conditions.",https://www.planecrashinfo.com/2009/2009-6.htm
15-Feb-09,1915,"Chanco, Chile",Flight Service,?,Bell UH-1H,13   (passengers:12  crew:1),13   (passengers:12  crew:1),The helicopter was carrying firemen to a nearby forest fire when it crashed into a fog shrouded mountain killing all aboard.,https://www.planecrashinfo.com/2009/2009-7.htm
20-Feb-09,410,"Luxor, Egypt",Aerolift,"Entebbe, Uganda - Luxor, Egypt - Niklaev, Ukraine",Antonov 12V,5   (passengers:0  crew:5),5   (passengers:0  crew:5),"While attemping to take off from Luxor, the cargo plane slammed to the ground, slid down the runway and caught fire.",https://www.planecrashinfo.com/2009/2009-8.htm
25-Feb-09,1031,"Amsterdam, Netherlands",Turkish Airlines,"Istanbul, Turkey - Amsterdam, Netherlands",  Boeing 737-8F2,134   (passengers:127  crew:7),9   (passengers:6  crew:3),The plane was on final approach to Runway 18R when it crashed 1 mile short of the runway into a field and broke in three. Nine people were killed and 55 injured. A faulty instrument caused the plane's autopilot to cut fuel to the engines prematurely. Pilots were late to notice warning signals and reacted inadequately.,https://www.planecrashinfo.com/2009/2009-9.htm
9-Mar-09,540,"Lake Victoria, Uganda",Aerolift,"Entebbe, Uganda - Mogadishu, Somalia",Ilyushin Il-76T,11   (passengers:7  crew:4),11   (passengers:7  crew:4),"The cargo plane carrying and water purification equipment crashed into Lake Victoria shortly after taking off. Possibly caused by one or a combination of factors, including loss of engine power, malfunction of the flight control system, pilot impairment, inattentiveness to altitude and inadequate handling of the aircraft. An investigation  found that the navigator used a forged license and that the aircraft and engines were beyond their service life.",https://www.planecrashinfo.com/2009/2009-10.htm
12-Mar-09,948,"Off St. Johns, Newfoundland",Cougar Helicopters,St. Johns - Hibernia platform,Sikorsky S-92A,18   (passengers:16  crew:2),17   (passengers:15  crew:2),The pilot reported a technical malfunction and radioed that he was returning to St. Johns. He then radioed a mayday. The helicopter then went down in what was a controlled emergency crash landing. The accident happened about 30 miles off St. Johns. Two main gearbox filter bowl assembly mounting studs made of titanium were found broken. This resulted in the loss of gearbox oil.,https://www.planecrashinfo.com/2009/2009-11.htm
22-Mar-09,1428,"Butte, Montana",Eagle Cap Leasing,"Oroville, CA - Butte, MT",Pilatus PC-12/45,14   (passengers:13  crew:1),14   (passengers:13  crew:1),"The plane crashed 500 feet short of the runway while attempting to land at Bert Mooney Airport. The plane took a nosedive and crashed near Holy Cross cemetery. The plane was carrying children and adults from California to a skiing vacation in Montana when it diverted from its planned destination of Bozeman to Butte. The pilot, who did not use a required anti-ice additive in the fuel,continued to fly despite a deteriorating fuel system. In addition, the plane was 600 pounds over it's take-off weight.",https://www.planecrashinfo.com/2009/2009-12.htm
23-Mar-09,648,"Tokyo, Japan",FedEx,"Guangzhou, China - Tokyo, Japan",McDonnell Douglas MD-11,2   (passengers:0  crew:2),2   (passengers:0  crew:2),"The fatigued pilot flying the cargo plane flared too late on landing. From his position in the cockpit he was then apparently unable to tell that the main gear had bounced and the tail was rising, so he pitched the plane down to bring the nose to the ground, instead of up to recover from the bounce. The plane bounced again, harder, lost  control, veered to the left, turned over, and was destroyed by fire.",https://www.planecrashinfo.com/2009/2009-13.htm
1-Apr-09,1400,"Off Crimond, Scotland",Bond Offshore Helicopters,Miller field - Aberdeen,Eurocopter AS 332L2 Super Puma 2,16   (passengers:14  crew:2),16   (passengers:14  crew:2),The helicopter crashed 35 miles East of Crimond in the North Sea while transporting oil workers. A mayday was received prior to the crash. Catastrophic failure of the main rotor gearbox.,https://www.planecrashinfo.com/2009/2009-14.htm
6-Apr-09,1230,"Bandung, Indonesia",Military - Indonesian Air Force,Militiary training,Fokker F-27 Friendship 400M,24   (passengers:18  crew:6),24   (passengers:18  crew:6),"While returning from a military training exercise, and attempting to land, the aircraft struck a hanger and burst into flames.",https://www.planecrashinfo.com/2009/2009-15.htm
9-Apr-09,700,"Near Wamena, Indonesia",Aviastar Mandiri,Jayapura - Wamena,British Aerospace BAe-146-300,6   (passengers:0  crew:6),6   (passengers:0  crew:6),"The cargo plane crashed into Gunung Pike mountain while on approach and attempting to land at Wamena Airport. The crew did not appear to have awareness of the aircrafts proximity with terrain until impact with terrain was imminent. The flight crew did not act on the Enhanced Ground Proximity Warning System aural warnings, and did not conform to the operators published operating procedures.",https://www.planecrashinfo.com/2009/2009-16.htm
29-Apr-09,600,"Massamba, Democratic Republic of Congo",Bako Air,"Bangui, CAR- Brazzaville, Congo - Harare, Zimbabwe",Boeing B-737-200,7   (passengers:5  crew:2),7   (passengers:5  crew:2),Crashed while en route on a ferrying flight. The plane had not been flown for a year.,https://www.planecrashinfo.com/2009/2009-17.htm
3-May-09,1200,"Near El Alto de Rubio, Venezuela",Military - Venezuelan Army,Patrol,Mi-35,18   (passengers:16  crew:2),18   (passengers:16  crew:2),The helicopter was patrolling along the Venezuelan / Colombian border when radar contact was lost.,https://www.planecrashinfo.com/2009/2009-18.htm
20-May-09,630,"Near Madiun, Indonesia",Military - Indonesian Air Force,Jakarta - Maduin,Lockheed C-130 Hercules,112   (passengers:98  crew:14),112   (passengers:98  crew:14),"While on approach, the military transport crashed into 4 houses, skidded into a rice field and burst into flames.",https://www.planecrashinfo.com/2009/2009-19.htm
26-May-09,?,"Near Isiro, Democratic Republic Congo",Service Air,Goma - Isiro,Antonov An-26,4   (passengers:0  crew:4),4   (passengers:0  crew:3),The cargo plane crashed while on approach to Isiro-Matari Airport.,https://www.planecrashinfo.com/2009/2009-20.htm
1-Jun-09,15,"Atlantic Ocean, 570 miles northeast of Natal, Brazil",Air France,Rio de Janeiro - Paris,Airbus A330-203,228   (passengers:216  crew:12),228   (passengers:216  crew:12),"The Airbus went missing over the Atlantic Ocean on a flight from Rio de Janeiro to Paris, France. The plane departed from Rio de Janeiro-Galeao International Airport at 19:03 LT bound for Charles de Gaulle Airport in Paris. The last radio contact with the flight was at 01:33 UTC.  The aircraft left CINDACTA III radar coverage at 01:48 UTC, flying normally at FL350. The aircraft reportedly went through a thunderstorm with strong turbulence at 02:00 UTC. At 02:14 UTC an automated message was received indicating a failure of the electrical system. The plane carried 12 crew members and 216 passengers. The wreckage was finally discovered on April 3, 2011 using unmanned submarines.  Flight447 passed into clouds associated with a large system of thunderstorms, its speed sensors became iced over, and the autopilot disengaged. In the ensuing confusion, the pilots lost control of the airplane because they reacted incorrectly to the loss of instrumentation and then seemed unable to comprehend the nature of the problems they had caused. Neither weather nor malfunction doomed flight, nor a complex chain of error, but a simple but persistent mistake on the part of one of the pilots.   The crew did not realize the plane was in a stall, were insufficiently trained in flying manually, and never informed the passengers that anything was wrong before they plunged into the sea. The captain was on a rest break when the warnings began. The two co-pilots were facing faulty speed readings from unreliable sensors and repeated alarm signals, but fail to explain why the pilots responded the way they did. It's unclear why the co-pilot at the controls maintained a nose-up input - contrary to the normal procedure to come out of an aerodynamic stall. Normally, the nose should be pointed slightly downward to regain lift in such a stall, often caused because the plane is traveling too slowly. A basic maneuver for stall recovery, which pilots are taught at the outset of their flight training, is to push the yoke forward and apply full throttle to lower the nose of the plane and build up speed. The report confirms that external speed sensors obstructed by ice crystals produced irregular speed readings on the plane. Since the accident, Air France has replaced the speed monitors on all its Airbus A330 and A340 aircraft. The BEA said neither of the co-pilots at the controls had received recent training for manual aircraft handling, or had any high-altitude schooling in case of unreliable air speed readings. A stall warning sounded numerous times, and once for a full 54 seconds, but the crew made no reference to it in cockpit exchanges before the jet crashed.",https://www.planecrashinfo.com/2009/2009-21.htm
7-Jun-09,830,"Near Port Hope Simpson, Newfoundland, Canada",Strait Air,Lourdes de Blanc Sablon - Port Hope Simpson,Britten-Norman BN-2A-27 Islander,1   (passengers:0  crew:1),1   (passengers:0  crew:1),The air ambulance crashed into hills while attempting to land in heavy fog about 4 miles from the airport.,https://www.planecrashinfo.com/2009/2009-22.htm
8-Jun-09,?,"State of Arunachal Pradesh, India",Military - Indian Air Force,Mechuka - Jorhat,Antonov An-32,13   (passengers:6  crew:7),13   (passengers:6  crew:7),The military transport went missing while en route and might have crashed due to heavy rain in the mountainous region.,https://www.planecrashinfo.com/2009/2009-23.htm
29-Jun-09,1601,"Near Wamena, Indonesia",Aviastar Mandiri,"Dekari - Wamena, Indonesia",de Havilland Canada DHC-6 Twin Otter 300,3   (passengers:0  crew:3),3   (passengers:0  crew:3),"While en route and nearing it's destination, the cargo plane crashed into a 9,600 ft. mountain in the Tangma district.",https://www.planecrashinfo.com/2009/2009-24.htm
30-Jun-09,151,"Off Mitsamiouli, Comoros",Yemenia Airway,"Sana'a, Yemen - Moroni, Comoros",Airbus A310-324,153   (passengers:142  crew:11),152   (passengers:141  crew:11),"The plane crashed into the Indian Ocean, 10 miles off the coast,while attempting a second approach to Hahaya Airport in Moroni. A 12 year old girl survived the accident. Crew error. The accident was due to inappropriate action by the crew during a non-stabilizing maneuver.",https://www.planecrashinfo.com/2009/2009-25.htm
3-Jul-09,?,"Near,  Peshawar ,  Pakistan",Military - Pakistan Army,?,Mil Mi-17,26   (passengers:24  crew:2),26   (passengers:24  crew:2),The military helicopter crashed en route while transporting troops.,https://www.planecrashinfo.com/2009/2009-26.htm
15-Jul-09,1133,"Near Qazvin, Iran",Caspian Airlines,"Tehran, Iran - Yerevan, Armenia",Tupolev 154M,168   (passengers:153  crew:15),168   (passengers:153  crew:15),"The airliner crashed into a field 75 miles northwest of Tehran, 11 minutes after taking off from Imam Khomeini Airport. The plane exploded and disintegrated upon impact. Separation of a piece of the low pressure compressor from the No. 1 engine. Debris from that  hit the aircraft  body, disabling the fuel lines.",https://www.planecrashinfo.com/2009/2009-27.htm
19-Jul-09,1150,"Kandahar Airport, Afghanistan",Vertical-T Air,?,Mil Mi-8,21   (passengers:?  crew:?),16   (passengers:?  crew:?),A civilian contractor's helicopter crashed while attempting to take off.,https://www.planecrashinfo.com/2009/2009-28.htm
24-Jul-09,1820,"Mashad, Iran",Aria Airlines,Tehran - Mashad,Ilyushin Il-62M,153   (passengers:138  crew:15),16   (passengers:3  crew:13),"While attempting to land, the plane skidded off the runway and crashed into a wall. Iran's Civil Aviation Organization stated the plane flew too fast during the approach and landing. The usual landing speed for an Il-62 would have been between 145 and 165 mph, however, it landed at a speed of 197 mph. Because of this, the airplane ran off the runway and collided with a wall.",https://www.planecrashinfo.com/2009/2009-29.htm
2-Aug-09,1025,"Ampisibil Village, Indonesia",Merpati Nusantara Airlines,Jayapura - Oksibil,de Havilland Canada DHC-6 Twin Otter 300,16   (passengers:13  crew:3),16   (passengers:13  crew:3),"Contact was lost with the aircraft 15 minutes after taking off. Debris was found in the Bintang mountains at an elevation of 9,300 feet. The crew did not maintain visual flight procedures when flying below lowest safe altitude, and the aircraft was flown into cloud in the vicinity of gap north west of Oksibil. The accident was consistent with controlled flight into terrain.",https://www.planecrashinfo.com/2009/2009-30.htm
4-Aug-09,1430,"Koh Samui, Thailand",Bangkok Airlines,Karabi - Koh Samui,ATR-72-212A,72   (passengers:68  crew:4),1   (passengers:0  crew:1),"The plane skidded off the runway and collided with an unused control tower, killing the pilot.",https://www.planecrashinfo.com/2009/2009-31.htm
8-Aug-09,1200,"New York, New York",Liberty Helicopter Sightseeing Tours / Private,"Sightseeing / Teteboro - Ocean City, NJ",Eurocopter AS-350BA / Piper PA-32R-300,9   (passengers:7  crew:2),9   (passengers:7  crew:2),Midair collision between a sightseeing helicopter and Piper Saratoga. Both aircraft fell into the Hudson River after colliding. The private plane approached and hit the the helicopter at almost a 90 degree angle. Both were flying VFR. Six killed on the helicopter and 3 aboard the private plane.,https://www.planecrashinfo.com/2009/2009-32.htm
11-Aug-09,1114,"Near Port Moresby, Papua New Guinea", Airlines  PNG,Port Moreby - Kokoda,de Havilland Canada DHC-6 Twin Otter 300,13   (passengers:11  crew:2),13   (passengers:11  crew:2),"The aircraft crashed on the eastern side of the Kokoda Gap, about 11 kms. southeast of Kokoda Airport. The aircraft impacted steep, heavily timbered terrain in a near-level altitude. Significant layers of clouds were in the area between the altitudes of 800 and 18,000 ft. with isolated showers and thunderstorms and embedded Cumulo Nimbus clouds.",https://www.planecrashinfo.com/2009/2009-33.htm
26-Aug-09,0500Z,"Nganga Lingolo, Congo",Aero Fret Business,Pointe Noire - Brazzaville,Antonov An-12BK,7   (passengers:2  crew:5),7   (passengers:2  crew:5),"The cargo plane crashed 7 miles SE of Brazzaville into a cemetery, short of the runway, while on approach to land. Reports indicate the rear of the plane had been on fire and the aircraft broke up before it hit the ground.",https://www.planecrashinfo.com/2009/2009-34.htm
8-Sep-09,1030,"Ugamsk Gorge, South Kazakistan",Military - Kazakhstan border guard service,Patrol,Mil Mi-8,13   (passengers:?  crew:?),10   (passengers:?  crew:?),The helicopter crashed while while pursuing suspected gunmen near the Uzbek border.,https://www.planecrashinfo.com/2009/2009-35.htm
24-Sep-09,800,"Merebank, South Africa",SA Airlink,"Durban - Pietemaritburg, South Africa",British Aerospace Jetstream 41,3   (passengers:0  crew:3),1   (passengers:0  crew:1),"The aircraft was on a positioning flight when it suffered an engine failure on take off.  The crew declared an emergency but the plane crashed onto a vacant lot, slid though a  fence and broke up on the grounds of a school, 400 meters from the runway. Instead of shutting down the malfunctioning engine, the pilot switched off the left engine - which was serviceable.",https://www.planecrashinfo.com/2009/2009-36.htm
25-Sep-09,2330,"Georgetown, South Carolina",Omniflight Helicopters Inc.,Charleston - Conway,Eurocopter AS350-B2,3   (passengers:2  crew:1),3   (passengers:2  crew:1),"The air ambulance crashed shortly after departure after dropping off a patient and while returning to base. The pilot, medic and nurse were all killed. The pilots decision to continue the visual flight rules flight into an area of instrument meteorological conditions, which resulted in the pilots spatial disorientation and a loss of control of the helicopter. Contributing to the accident was the inadequate oversight of the flight by Omniflights Operational Control Center.",https://www.planecrashinfo.com/2009/2009-37.htm
17-Oct-09,1238,"Manila, Philippines",Victoria Air,"Manila - Puerto Princesa, Philippines",Douglas DC-3C,4   (passengers:0  crew:4),4   (passengers:0  crew:4),Shortly after take off the crew reported engine problems and requested an emergency return to the airport. The pilot was not able to make the turn and the cargo plane crashed into an abandoned warehouse and burst into flames.,https://www.planecrashinfo.com/2009/2009-38.htm
21-Oct-09,1531,"Sharjah, United Arab Emirates",Azzi,"Sharjar, UAE- Khartoum, Sudan",Boeing 707-330C,6   (passengers:0  crew:6),6   (passengers:0  crew:6),"The cargo plane took off, banked to the right and crashed into the desert, 3km from the airport.",https://www.planecrashinfo.com/2009/2009-39.htm
22-Oct-09,1045,"Off Bonaire, Netherlands Antilles",Divi Divi Air,"Curacao - Bonaire, Netherlands Antilles",Britten-Norman BN-2A-8 Island,10   (passengers:9  crew:1),1   (passengers:0  crew:1),"While on approach, the right engine failed and the pilot was not able to maintain altitude. The plane ditched into the ocean.Nine passengers were rescued but the pilot was not able to leave the sinking plane and died.",https://www.planecrashinfo.com/2009/2009-40.htm
1-Nov-09,2119,"Off Mongokhto, Russia",Military - Russian Navy,Ferrying,Tupolev Tu-142M3,11   (passengers:0  crew:11),11   (passengers:0  crew:11),Crashed 20 miles offshore in the Tartar Strait while on approach.,https://www.planecrashinfo.com/2009/2009-41.htm
1-Nov-09,849,"Mirny, Russia",Russian Ministry of Interior,Mirnyy - Irkutsk,Ilyushin Il-76,11   (passengers:0  crew:11),11   (passengers:0  crew:11),"While taking off the aircraft barely rose off the ground, banked to the right and crashed 1.5 km from the airport. Seven crew as well as four members from a replacement crew were on board.",https://www.planecrashinfo.com/2009/2009-42.htm
12-Nov-09,1330,"Kigali, Rwanda",Rwandair,"Kigali, Rwanda - Entebbe, Uganda",Canadair CRJ-100ER,15   (passengers:12  crew:3),1   (passengers:1  crew:0),"Fifteen minutes after taking off, the pilot announced that the aircraft had a mechanical problem and was returning to the airport. After coming to a stop, for some unexplained reason, the plane took off again at full power, made a right turn and crashed into the VIP lounge.",https://www.planecrashinfo.com/2009/2009-43.htm
14-Nov-09,200,"Near Reno, Nevada",Mountain Lifeflight,"Reno, NV - Susanville, CA",Aerospatiale AS350,3   (passengers:0  crew:3),3   (passengers:0  crew:3),"The medical helicopter crashed and burned about 29 miles northwest of Reno, while returning to its base in Susanville, after dropping off a patient at a Reno hospital. All three crew members aboard were killled.",https://www.planecrashinfo.com/2009/2009-44.htm
28-Nov-09,816,"Shanghai, China",Avient Aviation,"Shanghai, China - Bishkek, Kyrgyzstan",McDonnell Douglas MD-11F,7   (passengers:0  crew:7),3   (passengers:0  crew:3),"The cargo plane veered off the runway, crashed and burned after the tail struck the ground as it attempted to take off.",https://www.planecrashinfo.com/2009/2009-45.htm
29-Nov-09,1610,"Lyall Harbour, BC, Canada",Seair Seaplanes,Lyall Harbour - Vancouver,de Havilland Canada DHC-2 Beaver MK- 1,8   (passengers:7  crew:1),6   (passengers:6  crew:0),The float plane crashed off Saturna Island after taking off from Lyall Harbour. A female passenger and the pilot survived.,https://www.planecrashinfo.com/2009/2009-46.htm
22-Jan-10,10,"Off Sand Point, Alaska",Alaska Central Express,Sand Point - Anchorage,Beechcraft 1900C-1,2   (passengers:0  crew:2),2   (passengers:0  crew:2),The cargo plane crashed into the water shortly after taking off with a cargo of fish and mail.,https://www.planecrashinfo.com/2010/2010-1.htm
25-Jan-10,235,"Off Na'ameh, Lebanon",Ethiopian Airlines,"Beirut, Lebanon - Addis Ababa, Ethiopia",Boeing 737-8AS,90   (passengers:82  crew:8),90   (passengers:82  crew:8),"The passenger plane disappeared off radar shortly after taking off from Rafik Hariri International Airport in stormy weather and crashed into the Mediterranean Sea, two miles west of  the village of Na'ameh, Lebanon. The flight crew's mismanagement of the aircraft's speed, altitude, headings and attitude through inconsistent flight control inputs resulting in a loss of control. The flight crew failure to abide by CRM principles of mutual support and calling deviations hindered any timely intervention and correction.",https://www.planecrashinfo.com/2010/2010-2.htm
25-Jan-10,1430,"Near Senador Jose Porfírio, Brazil",Piquiatuba Taxi Aereo,Belem - Senador Jose Porfírio,Embraer EMB-110C Bandeirante,10   (passengers:8  crew:2),2   (passengers:1  crew:1),"The commuter plane crashed while attempting to land, killing the captain and one passenger.",https://www.planecrashinfo.com/2010/2010-3.htm
